graphe,n,assortativité
Caltech36,762,-0.06617072568577184
Reed98,962,0.023433911766299834
Haverford76,1446,0.06749211773411773
Simmons81,1510,-0.0622502959623189
Swarthmore42,1657,0.060931072017964404
Amherst41,2235,0.058428389172124756
Bowdoin47,2250,0.05617686307638685
Hamilton46,2312,0.03056832972458158
Trinity100,2613,0.07190565373550929
USFCA72,2672,0.09166541049655255
Williams40,2788,0.04034804768240817
Oberlin44,2920,0.05008017692087418
Wellesley22,2970,0.06425328627689944
Smith60,2970,0.043617207849993365
Vassar85,3068,0.10078144349335603
Middlebury45,3069,0.07841541140353617
Pepperdine86,3440,0.05544401454006106
Colgate88,3482,0.0670008825165129
Santa74,3578,0.07063364105479576
Wesleyan43,3591,0.09506348914928049
Mich67,3745,0.14170168611782638
Bucknell39,3824,0.09448957325052154
Brandeis99,3887,-0.02554054493267737
Howard90,4047,0.057882517601705055
Rice31,4083,0.06483462782822577
Rochester38,4561,0.0249468839371978
Lehigh96,5073,0.03513316501153357
Johns Hopkins55,5157,0.07967055214259586
Wake73,5366,0.07090875548774575
American75,6370,0.06595876742576282
MIT8,6402,0.11989551313341619
William77,6472,0.05160144749219284
UChicago30,6561,0.01793545847009726
Princeton12,6575,0.09098016724554187
Carnegie49,6621,0.12245847228737616
Tufts18,6672,0.11798493726385167
UC64,6810,0.1253775970779927
Vermont70,7322,0.077197518484183
Emory27,7449,0.06628595853500675
Dartmouth6,7677,0.04431174812471216
WashU32,7730,0.04040080728335175
Tulane29,7740,0.09756227040948892
Villanova62,7755,0.06121983021853878
Vanderbilt48,8063,0.03782353129621161
Yale4,8561,0.01860384801982766
Brown11,8586,0.06935648619728321
UCSC68,8979,0.1323221210231473
Maine59,9065,0.0731436088897897
Georgetown15,9388,0.07534736669644715
Duke14,9885,0.0666559641493091
Bingham82,10001,0.13735165585524728
Mississippi66,10519,0.15067000896993998
Northwestern25,10537,0.03439627433056903
Cal65,11243,0.19160066608392737
BC17,11498,0.07601463246866501
Stanford3,11586,0.10195140824021603
Columbia2,11706,-0.0022173081731901266
Notre Dame57,12149,0.04770519078558875
GWU54,12164,0.02525492582618745
Baylor93,12799,0.07872590537497855
USF51,13367,0.1464068785249902
Syracuse56,13640,0.06452912074991643
Temple83,13653,0.030237498086773805
UC61,13736,0.196875828792776
Northeastern19,13868,0.06812004317425678
JMU79,14070,0.002951501048267591
UPenn7,14888,0.09250026259177901
UCSB37,14917,0.18306169341124645
UCF52,14936,-0.0077076645062032385
UCSD34,14936,0.03434524313496987
Harvard1,15086,0.14500018217245075
MU78,15425,0.15843314915098736
UMass92,16502,-0.0013784347633863051
UC33,16800,0.09391543922305981
Tennessee95,16977,0.0005223327887146075
UVA16,17178,0.0254905996228338
UConn91,17206,0.08861495550260651
Oklahoma97,17420,0.07366867873136723
USC35,17440,0.005504891411338656
UNC28,18158,6.613719946637032e-05
Auburn71,18448,0.0010457492217915405
Cornell5,18621,0.01803334888857507
BU10,19666,0.04533425229383043
UCLA26,20453,0.13604595564826436
Maryland58,20829,0.001406663143869315
Virginia63,21319,-0.01607448639565753
NYU9,21623,0.010609595309535171
Berkeley13,22900,0.010302260499137812
Wisconsin87,23831,-0.0035421110135009704
UGA50,24380,0.08962544401950438
Rutgers89,24568,0.07570232619365697
FSU53,27731,0.09935852955917497
Indiana69,29732,0.1329247072244373
Michigan23,30106,0.11497623627365842
UIllinois20,30795,0.02785024427347627
Texas80,31538,0.16388060318553438
MSU24,32361,0.00904575833623154
UF21,35111,-0.009648500374933922
Texas84,36364,-0.0015047746154793807
Penn94,41536,-0.0013283110756584797
