graphe,n,assortativité
Caltech36,762,0.4486247796877326
Reed98,962,0.13295037965832557
Haverford76,1446,0.12562905214744247
Simmons81,1510,0.18680698476870206
Swarthmore42,1657,0.1124985730033906
Amherst41,2235,0.07938989420660876
Bowdoin47,2250,0.11211255720172776
Hamilton46,2312,0.11160513094436388
Trinity100,2613,0.10577245645765115
USFCA72,2672,0.26236603277605103
Williams40,2788,0.125024723379373
Oberlin44,2920,0.1462782615637004
Wellesley22,2970,0.12411629890033174
Smith60,2970,0.3056246698129733
Vassar85,3068,0.24338106836605303
Middlebury45,3069,0.18090120512783542
Pepperdine86,3440,0.22932309976100432
Colgate88,3482,0.1730262395396699
Santa74,3578,0.1813582576466494
Wesleyan43,3591,0.12098521112461025
Mich67,3745,0.3365987750154405
Bucknell39,3824,0.19655676605071382
Brandeis99,3887,0.19400528699137576
Howard90,4047,0.16989859903022742
Rice31,4083,0.4846321590347197
Rochester38,4561,0.2600932099091077
Lehigh96,5073,0.2816854804169119
Johns Hopkins55,5157,0.11327806704601061
Wake73,5366,0.22678444595151903
American75,6370,0.2729060117136672
MIT8,6402,0.22879332170909591
William77,6472,0.2014509974566299
UChicago30,6561,0.2978979037990829
Princeton12,6575,0.08721830178680598
Carnegie49,6621,0.18272599266654052
Tufts18,6672,0.1288280738174919
UC64,6810,0.26799246418513056
Vermont70,7322,0.21006888968573967
Emory27,7449,0.2207356190966212
Dartmouth6,7677,0.17772931550489543
WashU32,7730,0.16649023332007287
Tulane29,7740,0.3529590654275169
Villanova62,7755,0.1696182322379704
Vanderbilt48,8063,0.22425330846221905
Yale4,8561,0.26726829449303685
Brown11,8586,0.1400528428182063
UCSC68,8979,0.4664288795463264
Maine59,9065,0.19744886645203602
Georgetown15,9388,0.1725248077838543
Duke14,9885,0.15758825508341892
Bingham82,10001,0.17422711857241419
Mississippi66,10519,0.3128833827253376
Northwestern25,10537,0.25352211318452283
Cal65,11243,0.29554649603958205
BC17,11498,0.13948002734057507
Stanford3,11586,0.12067117442081848
Columbia2,11706,0.13270732979611571
Notre Dame57,12149,0.25384741588834325
GWU54,12164,0.16993275716327985
Baylor93,12799,0.33442474298466945
USF51,13367,0.1918761474106968
Syracuse56,13640,0.2963107647490379
Temple83,13653,0.22857961511110464
UC61,13736,0.27335472547729284
Northeastern19,13868,0.19164941045608047
JMU79,14070,0.18614338824241095
UPenn7,14888,0.26299216891387966
UCSB37,14917,0.28977373999512285
UCF52,14936,0.19771590599202776
UCSD34,14936,0.34878872588809995
Harvard1,15086,0.14679409568062182
MU78,15425,0.32594033051472915
UMass92,16502,0.22818220526652438
UC33,16800,0.38242078685984093
Tennessee95,16977,0.22654235539187154
UVA16,17178,0.2473619027075637
UConn91,17206,0.12621160038956628
Oklahoma97,17420,0.40326234063797045
USC35,17440,0.2366417899731694
UNC28,18158,0.20244224295528127
Auburn71,18448,0.3894728500562999
Cornell5,18621,0.25425585223680003
BU10,19666,0.1652703622362013
UCLA26,20453,0.2315439765734994
Maryland58,20829,0.21007845586013937
Virginia63,21319,0.15204619074919476
NYU9,21623,0.18012544525280835
Berkeley13,22900,0.22187976360038417
Wisconsin87,23831,0.3424731461023897
UGA50,24380,0.35647908123455146
Rutgers89,24568,0.23624433484772484
FSU53,27731,0.2525241803137732
Indiana69,29732,0.37129049756391674
Michigan23,30106,0.2472879080239128
UIllinois20,30795,0.3080533785401572
Texas80,31538,0.2769978676911501
MSU24,32361,0.20242859519931206
UF21,35111,0.17220482161204217
Texas84,36364,0.31219586982706365
Penn94,41536,0.2438307214113188
