graphe,n,assortativité
Caltech36,762,0.053987934440322495
Reed98,962,0.021902608883141737
Haverford76,1446,0.06427169509822774
Simmons81,1510,0.007975308018172821
Swarthmore42,1657,0.06627397904670089
Amherst41,2235,0.05976190162463944
Bowdoin47,2250,0.04272755714219762
Hamilton46,2312,0.09176240964142461
Trinity100,2613,0.05201240841770932
USFCA72,2672,0.024033403799208274
Williams40,2788,0.07063554100300916
Oberlin44,2920,0.02025146365220023
Wellesley22,2970,0.24611964913119913
Smith60,2970,0.025215261791217147
Vassar85,3068,0.002015207785939573
Middlebury45,3069,0.03952930369192624
Pepperdine86,3440,0.05931414142889048
Colgate88,3482,0.08998553536438472
Santa74,3578,0.03531341470644351
Wesleyan43,3591,0.03524827398031711
Mich67,3745,0.05754259099820691
Bucknell39,3824,0.11681454219237918
Brandeis99,3887,0.019401258653116128
Howard90,4047,-0.09224275567108435
Rice31,4083,0.03008578787058765
Rochester38,4561,0.07580173301001031
Lehigh96,5073,0.06954031245930146
Johns Hopkins55,5157,0.09716318909417704
Wake73,5366,0.13085542165841166
American75,6370,0.027140825072115824
MIT8,6402,0.12546867281470617
William77,6472,0.11731668104564087
UChicago30,6561,0.045818746851806674
Princeton12,6575,0.06500370654586422
Carnegie49,6621,0.09808528203176871
Tufts18,6672,0.06278883466754703
UC64,6810,-0.02830168434183508
Vermont70,7322,0.0036621195019022196
Emory27,7449,0.09247349518114392
Dartmouth6,7677,0.10283981473412775
WashU32,7730,0.0939075235103633
Tulane29,7740,0.10083383773970539
Villanova62,7755,0.10071104610543992
Vanderbilt48,8063,0.15914372513911929
Yale4,8561,0.03670421947126249
Brown11,8586,0.02834377231885732
UCSC68,8979,-0.02740454268529104
Maine59,9065,-0.004868415829217036
Georgetown15,9388,0.014500325388499704
Duke14,9885,0.10141644831631375
Bingham82,10001,0.014995909061573848
Mississippi66,10519,0.11372401197149017
Northwestern25,10537,0.10459324675926808
Cal65,11243,0.022118986629528124
BC17,11498,0.01448840473888983
Stanford3,11586,0.056582977052849474
Columbia2,11706,0.08728333539884667
Notre Dame57,12149,0.133224592771463
GWU54,12164,0.028096014728542156
Baylor93,12799,0.09571392813783956
USF51,13367,-0.0754740153713162
Syracuse56,13640,0.062272057715417176
Temple83,13653,-0.06679899963154262
UC61,13736,0.002600453036454487
Northeastern19,13868,-0.006081281089925283
JMU79,14070,-0.009106542867310365
UPenn7,14888,0.0905472169419474
UCSB37,14917,-0.0032420729037478616
UCF52,14936,0.028764015082868525
UCSD34,14936,0.03045431736456861
Harvard1,15086,0.058144473440660406
MU78,15425,0.12116607762765888
UMass92,16502,-0.04613581454123053
UC33,16800,0.020504754502266735
Tennessee95,16977,0.05427214738617679
UVA16,17178,0.09671024081057336
UConn91,17206,0.011766571514008495
Oklahoma97,17420,0.11175857648413264
USC35,17440,0.08612818849111702
UNC28,18158,0.059837217682765176
Auburn71,18448,0.09462149267551613
Cornell5,18621,0.09072468662769984
BU10,19666,0.02052793999510281
UCLA26,20453,0.030467001069909898
Maryland58,20829,0.05580464305387343
Virginia63,21319,0.067094667296879
NYU9,21623,-0.0031371050474989382
Berkeley13,22900,0.051319508146819494
Wisconsin87,23831,0.04670693497875663
UGA50,24380,0.10447625452832855
Rutgers89,24568,0.03086939352337764
FSU53,27731,0.03930900639570992
Indiana69,29732,0.015086638221640764
Michigan23,30106,0.07527878416538804
UIllinois20,30795,0.11273790565964428
Texas80,31538,0.09448149337629323
MSU24,32361,0.006213423108154104
UF21,35111,0.08071470266213844
Texas84,36364,0.06307132498761187
Penn94,41536,0.020922034477653895
