graphe,n,assortativité
Caltech36,762,0.03818131720342423
Reed98,962,0.04723252227314708
Haverford76,1446,0.03204765553960211
Simmons81,1510,0.06974427311615389
Swarthmore42,1657,0.04292812623329598
Amherst41,2235,0.03249374698037833
Bowdoin47,2250,0.03199339064832753
Hamilton46,2312,0.03280025596354664
Trinity100,2613,0.05044086489981503
USFCA72,2672,0.08176294127200644
Williams40,2788,0.03403793840430522
Oberlin44,2920,0.10920256899115705
Wellesley22,2970,0.036527970792925316
Smith60,2970,0.053371347515719314
Vassar85,3068,0.04947558178898853
Middlebury45,3069,0.03812211904315693
Pepperdine86,3440,0.037596827326738295
Colgate88,3482,0.03624867257765743
Santa74,3578,0.04863206525527362
Wesleyan43,3591,0.052134809638305565
Mich67,3745,0.08161822693435322
Bucknell39,3824,0.049731530069685406
Brandeis99,3887,0.04149738486348286
Howard90,4047,0.04966276764882505
Rice31,4083,0.05522502562713544
Rochester38,4561,0.07327369862798672
Lehigh96,5073,0.04947180499638573
Johns Hopkins55,5157,0.07248736602895464
Wake73,5366,0.036589745976761616
American75,6370,0.05121211116617043
MIT8,6402,0.06442827963873529
William77,6472,0.043556229579531876
UChicago30,6561,0.0539213275272328
Princeton12,6575,0.047398525654721274
Carnegie49,6621,0.15092610250617058
Tufts18,6672,0.04194843492818458
UC64,6810,0.04518072577925735
Vermont70,7322,0.05537560807164691
Emory27,7449,0.03040470033925192
Dartmouth6,7677,0.03728991406273869
WashU32,7730,0.040688208436821485
Tulane29,7740,0.0525786335722986
Villanova62,7755,0.06020172815955207
Vanderbilt48,8063,0.057807899853973416
Yale4,8561,0.041703024579874653
Brown11,8586,0.03760574348747264
UCSC68,8979,0.05370235561844069
Maine59,9065,0.0701517131427521
Georgetown15,9388,0.043888019759643244
Duke14,9885,0.0444877149522967
Bingham82,10001,0.051404872380597495
Mississippi66,10519,0.046073255987117916
Northwestern25,10537,0.09612250963898265
Cal65,11243,0.11423086775397243
BC17,11498,0.04204283576399534
Stanford3,11586,0.04857416199563713
Columbia2,11706,0.045257324921160164
Notre Dame57,12149,0.052909080061593984
GWU54,12164,0.04780166305743642
Baylor93,12799,0.05015515547652218
USF51,13367,0.032852953412652895
Syracuse56,13640,0.08486045075089828
Temple83,13653,0.06445364295416638
UC61,13736,0.06664254400061419
Northeastern19,13868,0.11007951981884595
JMU79,14070,0.05969260073102762
UPenn7,14888,0.057782755357643004
UCSB37,14917,0.043068772185170676
UCF52,14936,0.0344550577988311
UCSD34,14936,0.0353694334757381
Harvard1,15086,0.05629299946879684
MU78,15425,0.050474649811066086
UMass92,16502,0.07853358968009001
UC33,16800,0.039329315349547846
Tennessee95,16977,0.0425894491981402
UVA16,17178,0.052832106300174854
UConn91,17206,0.05294925668060837
Oklahoma97,17420,0.04115048134842943
USC35,17440,0.0895294559988938
UNC28,18158,0.051146759694743145
Auburn71,18448,0.04538045535587534
Cornell5,18621,0.10366518402016517
BU10,19666,0.07526828684650151
UCLA26,20453,0.05099474511015556
Maryland58,20829,0.0595219821901846
Virginia63,21319,0.060287128924683506
NYU9,21623,0.126802200472927
Berkeley13,22900,0.06751598941019908
Wisconsin87,23831,0.039519181083793126
UGA50,24380,0.03496198880160586
Rutgers89,24568,0.06646857165409394
FSU53,27731,0.047367439155530607
Indiana69,29732,0.04788439610313751
Michigan23,30106,0.06649614158449177
UIllinois20,30795,0.05657913088712098
Texas80,31538,0.06655182441456514
MSU24,32361,0.04448277692085507
UF21,35111,0.048887560093238934
Texas84,36364,0.05917550762201112
Penn94,41536,0.05469873338275913
